DRUG,FINGERPRINT
3461,0011000000000110000000000000000001000000000000000100000100100000000000000000000000100110000010010000000100000100000000000100000001100000000000000000000010010000010100000000010000000000000000000000010000000000010000000010000000000000000000100000000010000000100000000000000111100000000000010010100000000000000100000100101010000000000000000000000010000001010100000000100000000001000100000000100010000000010000000000000000000000000000000011000000001001000000000000000000000000000000000000000000000000010000000000000000000011000100001000001100000000000100001000000001000001000000001000000000001000001100010000110000000000100100000000000000000000000000101001000000001000001000000000001100000000000000000000001011010000000000000001000000011000000000000000100000000000000000100000000000000001000000000000000010000100100100100000000000000000001000000010100000000000000000000110000000000000100000010000000000000000000001100000100100010001000000000000000010000000000000010000000000000000001000000000100000000100000000000000000000000000
5035,0000000000000111001110000000000000000000000000000000000000010000000001000000000000000110000000000101000100100100000000000000010000101010000001100000000010100000000000000000000010001100000000001000000000000000000000000101001000000100001000000001000000000100100000100000000010100000000000001001000000100000000000001100010000010001000001010001011010100001000000000000000000000000000000000000100000100100000001000000000000000000000000000000000000000010000000010000000000000000000101000000000000000000000001001000000000000001000000000000000100000000000110001100100000000001010010000001100000000000010000000000010011000101000100000001000000000000000100000001010000001000101100000000000000000100010000000000000100111000000000010001000100000000000000000000000000100000000000000000000100000000100000000100100100010000000000100000001000000100000000000001000000010000000000000001000010000000100000010000000000000100000001100000100000010000000011010000100110000000010000000000100100000001000000001000100000000000010000000000100010000011
42611257,0111000000000110000011000000100000000000001001000000001000110000000001000001000000100110000000000001010000100000001010000000000000101011000000000000000000100000001000000001010000000010000000010000000000100000000000010101000000011000010000000000001000000000110000110000000000100010100101000000000000000000000100001100000001000000000111110000010000010001000000000000000000000000001100000000010000100000010000001010000000000000000000100100000000000010000000100000000000000000100001000100000000000110000011000000100000000010000000000000011110010000001000001000000000000001000100000000100010000000001100100000000000100010000100110000000000010100000000000001000100000000001100000000001001000010000000000100100100100000000000010000100100000000000000000000100000100000000000000000001000000000000000000000100000000000010000000000010000000000100000010010000000100000000000100000000010000000000000110001000010000000000001001100100000100100000001000010100010000000000000000000000010000001000100000000101000110100010100000000000000000001
4114,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000001000100000000000000010100000000000000001000000000000001101000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000001000000000000000010000001000000000000000100000000000000000000000000000001000000100000000000000001000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000110000000000000000000000010000001000000000000010000000000000000000100001100100000000000100000000000000001000000100000000000000000000000000000000000000000000000100000000000010000000000100000000000000010000000000100000001000000000000000100010000000010000000000000000000000010000000000100010000000000000000100000000000001000001010000101000010000000000000000000000001000000000000000000000000010000000000000001010000100000000100000000010000000000000000000000000000000000000000000001
3902,0000000000001010000000000000000000000000000000000000001000010000000001000000001000000110000000000001000000000000000000000000001000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000101000000000000000000000000000000000000100000000000000000100000000110000010000000000010000000000100100000100000000100000000000010000001000000000000000000000000000100000000000000000000010000000000000000000000000000000011000000000000000000000000000000000000000001000000000000010000001000000000000100000011000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000010000000000000001000100010000001000000000000100000000000000000000000100100000000000010001000100000000000000000000100000100000000000000000000010000000000000000000100000000000000100000000000000000000000000100001000000000000000000000110000000000000000000000000000000000000000001100000100000000000000000000000100000000000001000000000000100000000000100000000000000000010000000000000000000000000
259329,0000000000010110000001001000000000000000000000000010010000010000000011100000000000000110000010000000010000000100000000000000000000000000000000000000100000000000000000000000000010000100000001000100110000000000000010000001000100000000000000000000000000000000100000010100000000100000000000000000000000100000000000001000100010000000000010110000000000000011000000000000100000000000000000000000110010000100000001000000000000000000010000000010000100000100000000000000100000000000000001000100000000000100000001000101000000000001000001001000010100000000010010000000000000001000000010000100000000000000010101000100000000000100000101010000000000000000000000000001000000000000001000000000000000000000110000000000000100100000000000010000000100000000000000000000010100000000000000100000100000000000000000000000000000000000001000000000001000000100000001000000010000000000001000000000001010000000000000010000000000000000000001100000100000000000000001010000100000000000011000000000000100000000000000000010110000000000000100000000001000000000
2723601,0001000100000000000010000000000000000000000000000000000000110000000000001000000000100110000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000001000100000100100000100000000000000000000010000011000000000000000000000001000000000000000000000000010000000000000001000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000001000000000001000010000000000000000000000100000000000000000000000000000000000000000100000100000000000000000000000000001000000000000000000000000010100000000000000001100000000000011000000000000000000000010000000000000000000000000100000000000000001100000000000000000000000000100000000000001000000000000000010000001000100000000000000000101000000000000011000000000
3690,0000000010010100000001000000000000100000000000000000100000000000000000010000000000000010000000000001101000000000000000000000000000000000000100000000100000010000000000000000010000000000000001000000000001000000000000000000000100001000000000000000000000000000100000000000000000000000000000000001000000000000000000000000100010000001000010010100000010000100000000000000000000000000010000000000000000000100000000000000000000000000000000000001110000000000000000000000100001000100001000001100000000000000000001000100000000000001000001000100010100000000000000000100000000000000000000000100000000000000000001000000000000000100000000000000000000000000000000000000000000000010001000000000000000000000010000000000000000000010000000000000100000000000000000000000000000000000000010000100000000000000000000000000000000000100001000100000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000100010000000000000000000000000000010000000100000000000000000000000000000000000000010000000000000000000001000000000
6194,0001000000000100000001000000000000000000000000000000000000100000000000000000000000100110000000000000000000100000000001000000000000010000000000000000001000000000000000000000001000000000010000000000000000000000100000000011000100000100000000000000001000000000000000000000000110000000000000000010000000000010000100000100000000000000000010000000000000000000000010000000000010000000000000000000010010000000000000000001000000000000000000000010000000000000000000000001100000000000000000000000000000000000000000000100000000000010000000000000001100000000000010000000000001000000000000000000000000000000001000000000000000000100010100000000000000000000000000000000000000000000001000000000001000000000010000000000001001000000000000000000000000000000000000000000100000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000001000000000001100000000000000100000000000100000000000001000000000000000000000000000000000000000000000100000100000000001000000000
15953832,0110000000000110000010000000010000000000000000000000010000100010001001010000000001000110001010100000010000100000001000000000000110000000000000000000100010110000010000010100000000100001000000000000100000000000000000000001000000000000000000000000000000000000110100000000000011110000111001000000000000100000000000000000100010000000000000000000000011000001000000000000100000000000000010000000101000100101000100000000000000000000010000000000000000000010000000000000100000000000000001000000000000000010000000000100100000000001000000000000000100000100010001000000000000100000010000000000100000001000011010000000000000000100000000000000000000000000000000000001000100001000101000000000000001000000111000000000000100110000000000010010000100010000000000000000100110000000000000000000100000000010000000000100000000010000000000001000010000010000001101000000000000000000000000000000100000000000000000000000000000000000000001100100100000001000000001000000100010000000000001000000000000010100001000000000100001010000000000000000000000000000
123631,0011000000000100010001000000000000000000000000000000000000100000000000010001000000100110000000000000000100010100000000000000000000011000000000000000000000000000000000000000000000000010000001000000000010000000000000000000000000001000010000100000000000000000100000000000000000000000000000000011000000100000000100001100110001000001100010010000001010000001000000000000000000000000001000000000000000100110010001101000000000000101000000000111000000000001000000010010000000000000100000000000000000000000010000101000000000000011010110000000001100000100001010011000000000000001000010000000100010000000001000000000000001000110001000000001000000000110000000001001000100000000001000000000001000000000110000000000100000100000000000010000000000000000000000000100100000000000000000000000000100000001000000000000000010000000000100000000000100000111100000000010000000000000000001000001000010000000000000100000100000000000000001100100100100010101000000010000100010000000010000000000000100000000000000000000000000000100000100000000000000000010
11683,0000000000000000000000000000010000000000000000000000010001000010000001000000000000000000000010000000000000000100000000000000000000000000000000000000000000010000000000000010010000100000000000000000000000000000000000000000000000000000000000100100000000000000100001100000000000000000000000000000000000010000000000000000100000010000000001010000000000000000010000000000000000000000000000000000100000000000000000000000000000010000010000000010100100000100010000000000000000000000000100000000000000000000000101000000000000000011100000000000000100000000000000000000001000000000000000000000000000000000000100000100000000000001000100000000010000000010000000001011000000000000001000000000000000000000000000000000000000000001000100001000000000000000000000000000000000000000000010000000010000000010000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000010010000000000000000011000000100000000000000000000000100000000000000000000000000000000000000000100000100000000000000000000000100000000000
54608520,1000000001000100000000000000000000000000001000000101010001000010000011000000000000000010000100000010000000000100000000000000000001001000000000000000000011010000000000000011000000110000000000000000000000000010000000000000000000001000100000100100000010000000100001110000000010000000000000010001000001010000001000001000111010000000000001110000001010000000010000000000000000000000000000000000100001010100000000000000010010010000010000000011000000001100000000000000000000000000000100000000000000000000010101001000000000000011100100000100010100000001000000111000001000000001000100000000010000000000000101010000010000000101000100000000010010000110000000001111000000001000101000000000000001000100010000000010000001010001000100001000000000001000001000000100000000000000000000100010010000000010000000000100000100100000000000010000000000000000000010000000000001000000000000000011000000000000000000110011000000000000000011100000100000010000000000000000100110010000000001000000000010100000000000100001100000100000000000100000100000000000
4211,0000000000000010000001000000000000000000000000000000000000000010000001000000000000000100000000000001000000000000000000000000000000010000000000000000000000100000000000000000000000000010000000000000000000000100000000000101000100100000010000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000000000001000100000010001000000000000000000000000000000000000100100000000000010000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000100000000000000000000000000000000000000000000000000000000001000100000000010000000000
1805,0000000000000000000000000000000000000000000000000000000000010000000000000000000000100010000010000000000100100100000000000000000001100000000000000000000010000000000000000000000000000000001000000000010000000000000000000011000000000000000000100000000010000000100000100000000101100000000000110000000000000000000000000110111010100000000000000000000010000001010000000000000000000001000100000000100010000000010000000000000000000000000000000011000000001001000000000000000000000000000000000000000000000000000000000000000000000011000100001000010110000000000100001000000000000001000000001000000000001000001100000000110000000000000100000000000000000000000000001001000000001000001000000000000100000000000000000000000101010000000000000001000000011000000001000000100000000000000000100000000000000001000000000000000000000000100000000000000000000000001000000001100000000000000000000011000000000000110000010000000000000000000000100000100000010000000000000000000000000000000100000000000000000000001000000000100000000000000000000000000000000000
132971,0000000000000010000000000000000000000000000000000000010001000010000001000000000000000100000000000000010000000000001000000000000000000000000000000000000000110000000000000110000000100000000100010000000000000000010000000000000000000000000000000100001000001000100000000000000000100000000000000100000000010000000100000100100000000000000100000000000000000001000000000000100000000000001000000000110000000000000000000000000000000000010000100110000000000100010000100000000000000000000001000000000000000010000000000000000000000011000000000010001100000000000001100000001000000000000000000000000000000001010100000000000000000000000000010000010000000000000000000000000000000000001000000000001000000100100000000000000000100001010000001000000100000000000000000000000100100000000000000000010000000010000000000000000000000000010000000000000000010000000000000000000000000000000000000000001010001000000000110000000010000000000001000001000000000100000001000010110100000000000000000000000000100000000000000000100000000100000000000000000000000000
3367,0011000000000100000000000000000000000000000000000100000100110000000000000000000000100110000000000000000100000100000000000000000011100000000000000000000010000000000000000000010000000000000000000000010000000000100000000010000000000000000100100000000010000000100000100000000000000000000000110010000000000000000100000100111010100000010000000001000010000000010000000000000000000001000100000000100010000000010000000001000000000000000000000011000010001001010000000000000000000000000000000100000000000000010000000000000000000011001100001000011110000000000100001000000000000001000000000000000001001000000100010000110000000000100000000000000000000000000000101001000000001000001000000000001100010000000000000000001111010000000000000001000000001000000000000000100000100000000000000011000000000001000000000000000000001100000100110000000010100000000000000011000000000000000000000111000000000000110000010000000001000000000001100000100100010001000000000000000010000001000100000000000010000001001100000000100000000101000000000000000000000000
4212,0000000000000110000010000100000000000000000000000000000000010100000001000000000000000110000000000001000000010000001000010100010100010000100000000000000000100000000000000000000000000001000000000000000000000000000000000101000000000000000000000000001000000000100001100000000000100100000001001000000100100000000000000100010000100000000001000000011001000001000000000000000010000000001000100000000000000100000001000000000000000000000000001000000000000001000010000000000000000000000001000000000000010000010000101000000000000001010000000000000111000000001000000000000010000100000000000000000001000000010000000000000000000100000100000000000000000000000000000001000000000000001000000000001000000000010000000000000110100000000001010000000100000000000000000000000000110000000000000000100000000100000000000000100000100000000000100000000010000100001000000001000000001101000000000101000000000000000000000000000000000000000001100000100000000010010000000000100000000000011000000000000110000001000000000010010000000100001000000000000010000001
60700,0100000000000100000000000011010000000000110100010000001000110010001001010000001100000110000001010000101100101100001011000000011011101010001000000000001010010000011000000000000000000001000000010001100001011101000000000011000000000100011000100000001000000000100000100000000011100000000110010000000010100000000100001100101010100001000101010000000010000001010000010000011010001000001010000000100000000100011001001010000000000100000100000110100100000010000000101111000000010001100101100110000100000000000001000000000100000011110000000000101100000101001000000000000010000101010100000000000000010000011010000000000001000110000110010000000000011011000000001011000100001010001000000000001000010000110000000000101011110000000000010000000111100000000000000000100110100000100101110010000010000010100000010000010000000000001000010000000000000100001000000011001000000000000000001110110010100010000000100000000010000000000011100000101010100000000000000010100010000000010110000000100100010101000000000000100000000100011000000000000000000000
126941,0011000000000101000100000001000000000000001000000000001001110000000010001000000100100110000000000000001100011000000000000000000000010011000000000000000010010000000000000001000000000000000000010000100000000000000000000011000000000000000000001000001000000000100000110000000000100000000000000010000000000001000110000100110000100000000101110000011010000011000000000000000010000000001000000000100000000100010000000010000000000000000000000010000000000001000000000000000000000000000001000000000000000000000000101000000100000011000010000000001110000000001000000000001000010111000000000000000000010000100000000000010001000100000100010000000000000110000000001101000000000000001000000000001000000000010010000010100000110000000000010000010000000000000000000000100000100000100000000000100010000001000000000100010000000000011100000000000000000000000000000011000010000000000000000011000110000000100001010000010111000000000001110000100110010001000001000000100110000001000000000000000010100001010100000000100000000101001100000000110010000000
4033,0000000000000100000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000
216326,0000000000000100000100000010000000000000001000000000001001010000000010000000000000000110000000000000000000001000001000000000000100000000000000000000000010010000000000000010000000000000000000000000000000000000010000000011000000000000000000000000001000000000100000110000000000100000000001000000100000000000000000000100000000010000000101100000011011000001000000000000000000000100001100000000100000000100000000000000000000000000000000000000000000000000000001000000000000000000000001000000000001000000000000000000000000000000000000000000000010000000001000000000101000000100000000000000000001000000010000000000000010000100000100010000000000000110000000001101000000001100101000000000001000000000010000000000000000110000000000010000110000000000000000000000000001010000000000000000000110000000000000000100010000010000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000001100000100010000010000000000000100010000000000000000000000011000001000100000000100000000100000100000000110010000000
5353562,0000000100000000000000000000000000000001000000000000000001000000000001000000000000000011000000000000001100000000011000000000000100000000000000000000000000010000000000000100000001001100001000000000000000010000000010000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000010011000000000000000001110000000011000000000000100000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000000000000000000000000010000000000000001100000000000001000000010000000000001100000000000000000000000001010000000000000001000000100000000000000000100000000000000000100000000000000000001000000001000000000000000001000001000000000010000010011000001000000001100000010010000000000000000000100000000000000000000000001000000000000000000000000001100110000000000000000100000100010000000000000000000000000000000000000000000010000000010000000000000000000000000100000100001000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000100001001000000000
3011155,0001000000000000010000010000000100000000001000000100000100110000000000001000000000100110000000000000000100000100000000000000000011100000000000000000000010000000000000000000010000000110000000000000010000000100000000000010000000100000000000110000000010000000100000100000000100100000000000110010000000000001000100000100111010100000000000000000000010000011010000000000000000000101000100000000100010000000010000100000000000000000000000000011000010001001000000010000000000000000000000000100000000000000010000000000000000000011001100001000011110000000000100101000000000010001000010000000000000001000000100010000110100000010100010000000000000000000000000001001000000001010001000000000001100010000000000000000001111110000000000000001000000011000000000000000100000100000000000000000000100000001001000000000000000000000010100110000000010000010000000100011000000000000000000000111000000000000110000010001000000000000000001100000100000010000000000010000000000000001011100001000000110000001001100000000100000000101001000000000000000000000
11354606,1000000000000000000000000000000000000000000000000101010001000010000000000000000000000010000000000000000000000100000000000000000001000000000000000000100001010010000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000010000000000000000000000000000111010000000100001000000000010000000010000000000000010000000000000000000100000010000000000000000000010000000010100000010000010001000000000000000100000000000000000000000000000000000000100000000000000000001100100000100010100000000000000100000001000000001000000000000000000000000000100000000110001000001000100100000000010000010000000001001000000001000001000000000000000000000000000000000000001010001000000001000000000001000000000000100000001000000000000000010000000000010000000000000000100000000010000010000000000000100000000000000000001000000000000000010000000000000110000110001000000000000000010100001100000010000000000000000000000000000000000000000000000000000000000000001100000100000000000000000101000000000
460612,0000000000000110000001000000000000000000000000000000000000000000000001000000000000000110000000000000000000010000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000010000000000000000100000000000000000100000000110000010000000000000000000000100110000000000000011010000000010000001000000000000100010000000001000000000100000000000000000000000000000000001000000000010000000000001000000000000100000000000000001000000000000000000000000100100000000000001000000000000000100000000001000000000000000000000000000000000000000010000000000000000000000000100100100000000000000000010000000001101000000000000001000000000001000000000110000000000000100100000000000010000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000100000000000000100100000000000000000000000000000000001000000000000000000000100001100000000001000000000
148124,1000000000000110000100000000010000000000000000000000011001110010000011010000000000000110000000000000000000001100000000000000000001000000000000000100000000010000000000000010000000100001000000000000010011000010000000000001000000000000101000110100000000000000100000110000000000100000000000010011000000010000000000000000111011000000000111111000010010000001010000000000100000000000000100000000100001000000000000000000100010000001010000010011000011001100010010000000100000000001000001000000000000000000010101001000000100000001100100001000010100000100000000100000001000000010000000000000000000000000000110010000010001000001000100010000010010000011000010001011000000000000001000000000000000000100110000000010000100100001000000011000000100001000001000000100110100000000000000000010010010000010000000000100010100100000000000000000000000000100000000000011000100000100000000001011000000000000110000010000000000000000000011100000100000010000000000010000101110010000000101000000000110100001001100000001100000100000000000000000101000000000
439525,0000000000000010001010000000010000000000000000000101000000100000000001010000000000000100000000000001110000000100000000000000110001000000000000000000000001100010000000000000000010100101000000000000100001000100000000000111000000000000000000110000000000100000100000000000001000100100000000010010000000100000000000000000101001000000000001010000000010000001010000000000111010000010000000000000100000000101000001000000000000000001010100001010000110001000000000100000100000000000000001000000000000000100000101000000000000000001100100000100010100000100010010100000000000000001000010000000000000000000010110000100010000000100001100000000000000000010000000001001000100000000001000000000000000000000100000000010001101100001000000010000000100001000000000000100100101000000000000000010100000000000000000000000101100000000110000111001001000101100000001000010001000000000001000001010000010000000010000010001000100000000000011000001100000000000000001010000100000000000010100000000000100000000000000000010110100101000000000000000101000000000
23615975,0000000000001101000000000000000000000000001000000000000101000000000011000000000000010011000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000001100000000000000100000000000100000010000000010000000000000000001000000000000000000000010111000000000010001101000101010000000000000000000100000000000000000000000100000000000000000000000000000000000010000000011000000001000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000100000000000000000000000000000000000000000000000000000000000100000000100001000001100100000000100010000010000000001100000000001000001000000000000000000000010000000000000000110000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000110000010000000000000000000000110000000000000000000000000000000010000000000000000000000010100000000000000000100011000001000000000000111000000000
54613769,0110000000000111000001000000000000000000100000000000000100100000100011000001000000000110000000000000000100000100001000000000000000101000000000000000000010000000000100010000010000000000000000010000010001000100000000010001000000001000010000100001101000000000100000001001000011110000000001000000100000000001000100000100100011000000000110000000110010000011010000001000001000000000001100000000110010000100110001000000000000000000000000000110000100000010000100100000010000100000000101000011000010000000100001000000000000000011001000000000001100010100000010000000000000000100000010000001001010000010000110100000000100000110100000010001000000000100000000000001000100001010101000000000001100000000010000100000000100110000000010010000000100000000000000000000100001000000000000000000000000000000010000000000000000000000000000000000000101000000110000110110000000000000000000100000000010000000100000110101000010000000000001100000100000000100000100010010100010000000011000000000000100000011000000000010100000000110000100000000000000000010
